ID,Major,Score1,Score2,Score3,Score4,Score5,Grade,Semester
57785,0,75.1,67.5,76.9,62.8,68.0,16,0
50212,0,65.8,81.6,70.0,70.0,60.0,16,0
50072,0,75.1,60.1,74.8,64.0,74.8,16,0
54934,0,70.9,72.7,77.3,67.2,73.2,16,0
51566,0,70.0,73.1,60.5,62.8,72.6,16,0
53325,0,67.4,68.9,68.2,72.0,77.6,16,0
54579,0,64.6,78.0,62.2,62.8,71.0,16,0
55763,0,67.3,65.4,65.4,79.0,65.0,16,0
56262,0,67.9,70.2,75.7,60.6,60.2,16,0
53006,0,71.0,72.0,71.5,70.0,69.8,16,0
57603,0,60.4,61.8,70.0,61.0,68.2,16,0
50018,0,60.4,83.0,65.0,68.0,72.1,16,0
54725,0,70.0,61.1,67.6,61.0,63.0,16,0
54058,0,60.2,73.0,66.9,60.0,66.6,16,0
57789,0,14.0,77.0,73.0,61.0,68.4,16,0
56962,0,25.0,72.0,34.0,60.0,68.2,16,0
53507,0,26.0,70.0,43.0,64.0,65.0,16,0
58827,0,12.0,60.0,50.0,27.0,60.0,16,0
55005,0,14.0,65.0,45.0,60.0,61.0,16,0
51597,1,84.0,98.6,94.4,81.1,95.6,16,0
54506,1,90.3,90.6,97.9,87.1,86.0,16,0
56406,1,91.3,81.8,94.4,82.4,90.5,16,0
55207,1,77.5,92.4,94.6,86.1,83.6,16,0
50536,1,86.8,92.0,95.1,81.7,78.2,16,0
52662,1,84.9,92.0,84.6,82.1,78.8,16,0
57930,1,78.5,93.7,91.1,72.4,83.3,16,0
59063,1,85.5,95.1,70.0,82.9,79.5,16,0
52498,1,97.0,73.9,82.5,74.0,83.0,16,0
55554,1,73.3,88.9,88.8,82.4,75.5,16,0
56733,1,85.4,76.9,79.2,76.7,90.2,16,0
52752,1,72.8,86.5,86.7,71.9,89.6,16,0
57742,1,70.4,84.0,87.4,73.4,84.8,16,0
55754,1,74.0,87.5,87.8,79.4,71.1,16,0
51662,1,79.9,94.1,87.4,74.1,63.2,16,0
58325,1,88.9,72.0,80.5,81.4,75.8,16,0
55599,1,72.3,88.9,72.9,72.3,80.9,16,0
53179,1,66.3,92.2,76.1,73.5,75.5,16,0
54113,1,75.0,90.6,64.2,85.8,63.8,16,0
50380,1,76.3,62.7,86.0,77.1,77.0,16,0
54776,1,66.9,72.5,88.8,74.6,75.2,16,0
59870,1,66.5,66.9,86.2,74.1,81.5,16,0
54591,1,65.3,87.2,67.8,76.9,74.3,16,0
51143,1,60.3,89.2,81.7,75.1,60.4,16,0
58517,1,73.5,86.1,73.0,73.1,60.1,16,0
52313,1,60.1,82.3,72.1,70.0,70.1,16,0
58197,1,61.4,86.1,71.9,73.7,60.6,16,0
58066,1,70.5,90.3,60.2,65.3,67.3,16,0
55278,1,54.3,85.6,76.1,70.9,57.2,16,0
57977,1,63.3,88.6,76.5,60.4,60.3,16,0
55992,1,60.0,78.1,69.1,64.6,60.5,16,0
52597,1,50.3,84.7,60.2,61.2,60.2,16,0
53331,1,53.5,75.6,62.9,61.0,45.9,16,0
59090,1,43.8,86.5,60.1,60.7,43.7,16,0
56960,1,53.4,60.0,69.8,43.6,62.0,16,0
56954,1,65.3,24.0,63.9,0.0,20.1,16,0
52838,2,90.4,85.1,89.1,81.5,91.0,16,0
50946,2,90.7,76.6,86.1,81.5,85.9,16,0
59382,2,81.7,82.0,83.9,93.7,91.0,16,0
51127,2,88.2,77.1,80.5,82.9,78.9,16,0
56657,2,85.9,91.7,75.7,80.1,71.2,16,0
56731,2,80.8,82.1,76.3,93.0,83.1,16,0
52506,2,82.9,73.5,82.1,81.5,77.7,16,0
59144,2,90.7,81.1,83.8,80.5,68.5,16,0
56947,2,81.1,78.7,74.7,72.8,84.1,16,0
53969,2,80.2,76.8,70.1,78.4,76.1,16,0
52480,2,68.5,75.8,74.0,78.0,76.2,16,0
55616,2,73.9,80.0,77.3,71.8,69.9,16,0
54279,2,67.0,71.0,75.3,81.5,71.2,16,0
56049,2,77.8,71.0,78.5,78.4,61.5,16,0
50541,2,74.2,68.7,72.4,80.5,83.9,16,0
50806,2,76.6,71.7,68.7,76.0,62.2,16,0
56946,2,77.2,82.0,75.6,50.5,60.2,16,0
56612,2,73.2,69.2,73.0,72.5,69.3,16,0
52419,2,75.8,80.1,73.4,63.4,63.6,16,0
56202,2,67.0,81.3,60.0,70.0,68.4,16,0
52688,2,67.9,66.8,68.4,80.5,67.3,16,0
57030,2,83.2,77.1,68.2,45.5,62.1,16,0
51828,2,67.2,69.9,62.8,64.1,62.1,16,0
56162,2,78.9,69.5,66.1,52.9,60.8,16,0
53027,2,82.3,72.2,64.6,70.4,61.3,16,0
58182,2,70.3,65.3,60.0,52.1,60.2,16,0
52488,2,76.3,57.7,31.4,60.5,65.6,16,0
58190,2,67.9,61.3,40.8,38.5,60.5,16,0
50996,2,73.9,51.2,51.2,83.0,64.9,16,0
51657,2,49.6,27.5,46.0,17.6,66.4,16,0
59705,0,87.4,86.5,92.0,94.3,82.9,17,0
52840,0,88.8,74.6,92.4,88.6,86.1,17,0
50928,0,82.0,80.8,82.2,90.0,81.4,17,0
50190,0,84.2,73.8,88.2,89.3,80.6,17,0
59069,0,69.3,83.0,89.6,82.5,81.3,17,0
53403,0,76.4,79.9,79.6,80.8,79.2,17,0
50493,0,70.4,78.9,76.8,85.2,71.0,17,0
51231,0,73.7,74.3,69.0,86.2,78.2,17,0
57101,0,82.5,72.2,79.4,84.4,85.4,17,0
57105,0,81.4,74.3,76.2,78.1,76.8,17,0
58593,0,72.0,71.8,88.4,78.7,84.2,17,0
59715,0,73.9,72.2,81.0,72.3,90.3,17,0
51350,0,65.2,71.0,73.8,80.3,86.5,17,0
55103,0,67.6,78.5,89.4,61.0,81.0,17,0
56345,0,84.5,80.8,83.2,76.7,86.7,17,0
50068,0,73.7,65.0,88.2,78.0,81.9,17,0
53421,0,75.3,82.1,78.6,63.6,80.5,17,0
59097,0,64.8,61.7,78.8,83.1,84.0,17,0
55120,0,66.8,69.5,72.8,85.9,76.7,17,0
58562,0,81.5,68.5,76.4,78.7,70.4,17,0
50032,0,65.6,71.4,63.4,80.3,69.0,17,0
57090,0,72.1,70.4,63.2,80.8,70.4,17,0
57376,0,78.2,69.3,64.4,63.9,60.3,17,0
51086,0,61.7,60.1,67.0,77.2,88.9,17,0
52953,0,68.9,77.1,51.8,78.1,72.9,17,0
52585,0,60.4,63.2,68.8,75.4,67.5,17,0
59504,0,70.6,54.2,75.0,72.8,69.0,17,0
50714,0,69.9,68.5,56.4,61.0,71.1,17,0
55351,0,60.8,62.3,75.4,62.9,67.5,17,0
51004,0,78.2,73.1,80.8,92.2,85.5,17,0
51954,0,83.1,81.0,76.6,78.2,82.6,17,0
59405,0,76.0,78.3,69.2,87.2,69.6,17,0
55004,0,80.2,79.5,68.8,84.4,70.6,17,0
56991,0,78.2,69.3,85.4,76.1,75.4,17,0
59585,0,81.7,67.9,74.0,79.5,75.6,17,0
51340,0,60.0,69.0,73.0,93.6,67.0,17,0
55731,0,75.3,79.6,78.4,77.5,64.1,17,0
53339,0,71.8,81.6,66.8,74.2,75.8,17,0
52759,0,70.3,65.1,65.6,63.1,77.0,17,0
52869,0,75.1,77.9,57.0,64.5,76.7,17,0
51400,0,60.1,67.6,73.0,63.4,70.6,17,0
50537,0,62.1,61.4,62.0,69.8,72.5,17,0
50602,0,60.2,63.9,60.4,62.4,69.6,17,0
58111,0,62.8,60.6,70.2,65.2,61.4,17,0
59421,0,68.2,67.8,60.8,74.0,67.5,17,0
54782,0,49.8,70.9,74.4,63.9,60.8,17,0
55253,0,60.6,70.5,49.4,60.1,62.8,17,0
59031,0,60.1,60.3,60.2,63.6,60.8,17,0
54926,0,49.5,65.0,52.2,62.5,60.3,17,0
52630,0,74.0,66.8,65.0,61.8,60.4,17,0
59320,0,72.6,62.3,50.0,69.3,61.3,17,0
55702,0,60.0,56.5,60.4,65.5,69.7,17,0
59721,0,60.2,60.1,49.2,69.4,63.1,17,0
59599,0,50.0,63.1,61.6,60.4,60.6,17,0
51983,0,64.8,68.3,49.0,71.0,49.9,17,0
55733,0,43.7,60.8,51.2,60.8,60.1,17,0
52931,0,60.2,60.4,43.4,64.5,72.0,17,0
56209,0,60.6,64.3,54.4,60.6,62.3,17,0
54233,0,60.6,71.5,44.6,83.7,47.1,17,0
56247,0,60.2,74.0,47.8,65.8,46.4,17,0
56253,0,45.1,62.0,43.8,54.1,49.9,17,0
53775,0,67.6,60.1,49.2,67.3,50.6,17,0
58458,0,60.6,48.5,50.4,51.2,43.6,17,0
55922,0,60.1,53.3,25.4,60.6,38.0,17,0
51738,1,80.4,89.6,96.5,87.2,93.4,17,0
53961,1,65.7,92.2,97.6,79.2,90.9,17,0
52558,1,67.7,95.3,74.3,86.4,90.1,17,0
55534,1,66.8,84.1,89.6,84.8,81.6,17,0
57827,1,50.4,89.7,94.9,78.4,88.9,17,0
58239,1,71.5,75.6,77.1,81.6,82.6,17,0
52475,1,65.2,78.2,95.3,64.0,81.8,17,0
56800,1,63.1,90.2,39.9,80.8,84.0,17,0
59195,1,60.3,77.8,95.9,88.8,82.6,17,0
59662,1,50.8,79.7,83.8,72.8,80.3,17,0
53479,1,60.7,82.6,66.7,68.8,82.6,17,0
53065,1,49.8,78.9,64.1,72.8,75.0,17,0
55711,1,51.9,85.8,91.1,76.8,81.6,17,0
55248,1,66.4,69.8,61.9,76.0,84.6,17,0
54819,1,65.9,75.8,60.0,49.2,81.2,17,0
55403,1,43.6,82.6,72.3,69.6,66.2,17,0
55937,1,61.4,80.8,60.1,68.0,60.2,17,0
59264,1,67.1,76.7,60.0,44.0,66.3,17,0
51260,1,61.2,67.6,60.4,76.8,77.7,17,0
54856,1,70.6,79.2,61.3,62.8,80.2,17,0
52298,1,62.4,70.6,78.1,69.6,78.4,17,0
53622,1,61.7,84.0,95.9,45.6,61.4,17,0
56391,1,70.1,60.0,70.4,61.2,42.2,17,0
54347,1,60.5,72.6,94.9,7.6,68.1,17,0
51716,1,61.2,60.0,32.7,70.4,44.6,17,0
57454,1,63.3,81.1,37.3,61.2,67.7,17,0
58792,1,60.9,42.2,93.1,0.0,79.8,17,0
50160,1,65.2,60.9,33.7,31.6,65.0,17,0
59079,1,60.1,80.7,60.1,12.8,62.7,17,0
54944,1,60.3,76.7,61.1,34.0,60.1,17,0
57321,1,60.1,73.4,42.0,24.8,73.6,17,0
53873,1,69.4,66.7,73.0,13.2,51.3,17,0
57431,1,60.9,79.4,50.9,29.2,47.8,17,0
59770,1,62.1,67.6,60.0,45.6,48.2,17,0
51831,1,61.4,66.7,45.7,11.6,37.1,17,0
55422,1,48.1,72.5,45.0,4.4,62.7,17,0
55844,1,60.1,77.5,35.4,40.0,49.2,17,0
52103,1,53.0,66.8,61.3,34.0,47.5,17,0
52315,1,60.3,89.9,20.8,20.0,60.4,17,0
53373,1,48.5,61.5,21.0,31.6,42.9,17,0
51861,1,50.5,60.0,26.1,7.6,45.7,17,0
58589,1,50.6,57.4,35.0,2.6,42.0,17,0
53294,2,78.8,90.9,98.3,91.4,90.8,17,0
54641,2,82.0,95.8,93.7,86.2,93.2,17,0
54882,2,82.0,91.6,88.8,68.6,84.8,17,0
54585,2,64.9,91.6,77.8,75.2,83.6,17,0
50311,2,71.5,83.9,81.2,81.0,72.8,17,0
52589,2,75.2,80.1,85.8,80.8,76.2,17,0
57908,2,60.7,85.3,95.8,82.4,84.6,17,0
54078,2,70.0,86.7,85.1,80.2,79.4,17,0
58628,2,67.5,75.2,83.6,64.4,75.9,17,0
54127,2,76.4,62.5,91.0,75.6,77.0,17,0
58076,2,53.3,65.0,76.7,33.8,70.1,17,0
56215,2,61.4,87.1,70.4,61.6,69.8,17,0
51225,2,61.6,65.1,80.1,60.4,71.3,17,0
55634,2,65.9,72.1,71.1,64.0,68.6,17,0
50957,2,50.5,75.2,94.1,61.0,75.7,17,0
59764,2,51.2,63.4,75.6,60.6,68.4,17,0
51233,2,75.3,75.3,75.6,75.2,80.0,17,0
52535,2,60.1,54.3,70.7,52.0,63.8,17,0
50390,2,61.7,82.2,71.8,62.2,67.5,17,0
51202,2,52.2,48.1,60.2,38.2,69.0,17,0
58199,2,63.8,83.9,46.4,50.8,65.0,17,0
54501,2,71.0,62.0,76.3,62.6,32.6,17,0
57990,2,60.8,72.0,78.7,75.6,70.1,17,0
51540,2,71.5,49.0,67.6,52.2,56.3,17,0
58541,2,60.1,43.5,75.9,32.2,55.4,17,0
56867,2,60.1,45.1,74.6,81.2,56.2,17,0
58800,2,64.0,53.2,63.7,31.4,60.3,17,0
53236,2,53.5,70.0,60.9,9.0,50.0,17,0
52341,2,65.2,38.1,53.4,41.6,41.3,17,0
53134,2,62.1,50.0,43.9,21.8,53.9,17,0
58411,2,61.0,42.2,33.1,30.2,39.7,17,0
59162,2,50.5,65.1,47.5,60.6,50.9,17,0
52754,2,40.0,45.1,45.7,18.6,27.6,17,0
50185,2,48.3,50.1,62.4,62.4,51.3,17,0
56388,2,53.0,33.2,29.7,19.8,24.0,17,0
50396,2,40.4,47.1,43.3,40.8,25.9,17,0
52824,0,91.0,92.7,88.8,81.9,86.5,18,0
58679,0,91.0,95.1,90.3,77.5,80.0,18,0
52613,0,91.0,94.1,87.3,60.2,68.0,18,0
53636,0,87.4,70.9,83.9,86.0,89.5,18,0
57344,0,91.0,90.1,88.7,70.6,77.0,18,0
52883,0,91.0,90.0,89.6,71.3,74.5,18,0
51672,0,92.8,84.2,82.2,72.3,71.5,18,0
54163,0,91.6,81.5,89.4,69.4,84.5,18,0
50405,0,80.2,78.0,93.0,84.3,82.5,18,0
59020,0,87.4,86.0,73.1,61.2,97.5,18,0
54034,0,88.0,70.4,80.9,74.8,65.0,18,0
57371,0,86.8,75.3,78.2,70.3,76.0,18,0
58649,0,91.0,89.7,84.9,84.2,93.5,18,0
55118,0,88.0,60.3,73.1,71.7,71.5,18,0
59295,0,86.2,85.1,92.8,75.3,61.5,18,0
53596,0,86.8,67.5,72.0,61.8,63.5,18,0
50823,0,90.4,75.3,84.6,67.5,72.5,18,0
53315,0,86.8,76.0,60.2,62.5,60.5,18,0
58960,0,91.0,61.2,81.3,76.5,84.5,18,0
58417,0,88.0,50.7,68.2,70.9,66.5,18,0
53736,0,85.0,85.0,77.5,51.3,65.0,18,0
54860,0,85.6,68.4,73.7,73.4,65.5,18,0
53645,0,85.0,71.0,67.9,50.1,72.0,18,0
51572,0,86.8,47.2,70.2,51.1,71.5,18,0
57616,0,90.4,74.6,82.8,64.3,80.0,18,0
50780,0,86.2,60.6,60.0,53.1,61.0,18,0
55406,0,90.4,45.8,67.2,65.1,63.5,18,0
53626,0,83.2,90.4,54.9,49.2,40.0,18,0
56996,0,83.2,60.5,56.6,63.3,61.0,18,0
57667,0,88.6,60.8,60.2,64.2,51.0,18,0
56911,0,92.8,32.5,61.0,56.6,66.0,18,0
51198,0,88.0,33.9,63.3,63.0,47.0,18,0
54391,0,85.0,44.4,52.4,60.9,53.5,18,0
50862,0,87.4,47.2,66.1,66.8,53.0,18,0
56286,0,88.0,48.5,72.1,42.0,54.5,18,0
50820,0,85.0,61.9,51.9,60.7,40.0,18,0
56417,0,86.8,68.4,49.8,44.1,55.5,18,0
53092,0,91.0,60.6,53.4,49.1,49.5,18,0
51167,0,96.4,90.9,90.7,83.3,94.5,18,0
58902,0,94.0,85.2,88.3,65.7,93.0,18,0
53839,0,92.2,87.3,90.9,67.8,76.0,18,0
59649,0,91.0,93.9,88.5,65.8,72.5,18,0
59708,0,88.6,93.7,80.1,70.1,74.5,18,0
50414,0,92.2,74.7,69.2,63.9,85.5,18,0
53583,0,89.2,81.7,70.2,67.0,72.0,18,0
55770,0,94.0,75.4,76.1,60.4,71.5,18,0
53426,0,88.6,75.2,74.6,63.3,76.0,18,0
59456,0,91.6,76.7,75.8,60.6,74.0,18,0
54541,0,90.4,81.3,64.1,60.3,68.0,18,0
57209,0,92.8,94.1,63.0,64.7,74.0,18,0
53881,0,92.8,80.5,71.4,54.1,82.0,18,0
59140,0,89.2,69.0,74.6,61.8,63.5,18,0
59373,0,92.8,71.0,60.6,51.5,61.0,18,0
51488,0,92.2,45.1,70.9,61.6,74.5,18,0
58490,0,90.4,60.5,69.8,53.7,65.5,18,0
56443,0,91.6,62.1,60.0,51.3,76.0,18,0
56197,0,89.8,70.8,77.2,60.4,72.0,18,0
56165,0,92.8,60.7,65.5,56.1,60.0,18,0
55545,0,89.8,73.9,60.2,60.6,68.5,18,0
52601,0,96.4,83.2,60.3,60.4,60.0,18,0
51095,0,91.6,60.5,69.0,45.0,75.5,18,0
50716,0,88.0,71.1,75.0,67.6,71.5,18,0
51948,0,92.2,60.4,60.2,51.8,67.5,18,0
54759,0,87.4,70.3,54.9,51.9,60.0,18,0
58163,0,90.4,69.0,56.8,63.2,79.0,18,0
55176,0,89.2,69.0,49.9,55.6,50.0,18,0
53588,0,91.0,87.8,64.3,62.7,68.0,18,0
55462,0,90.4,70.2,57.2,46.5,71.5,18,0
52559,0,88.0,87.9,80.6,64.6,68.0,18,0
59175,0,92.2,49.3,60.4,44.7,82.5,18,0
56172,0,89.2,39.5,49.1,53.4,48.0,18,0
50149,0,92.2,34.6,51.8,54.8,60.0,18,0
56441,0,90.4,46.5,54.8,42.0,36.5,18,0
52517,0,86.8,69.0,39.4,31.2,35.0,18,0
52654,0,93.4,41.6,45.2,43.4,35.0,18,0
59215,1,93.4,95.9,92.2,90.0,81.5,18,0
53376,1,94.0,92.4,83.0,85.0,74.0,18,0
51468,1,94.0,90.3,76.8,64.0,74.5,18,0
56747,1,94.0,96.5,68.2,63.0,86.5,18,0
59683,1,93.4,87.2,80.4,63.0,60.0,18,0
59889,1,94.0,92.0,64.0,66.0,70.0,18,0
54513,1,93.4,84.4,61.6,62.0,89.0,18,0
56736,1,91.0,82.6,68.8,70.0,96.0,18,0
52725,1,93.4,95.6,73.8,81.0,63.5,18,0
51729,1,85.0,94.9,78.3,80.0,64.0,18,0
53504,1,89.2,69.0,69.6,68.0,97.5,18,0
50302,1,94.0,87.1,73.4,60.0,79.0,18,0
59336,1,91.0,79.0,83.0,69.0,70.0,18,0
50136,1,94.0,93.5,91.5,90.0,60.0,18,0
55093,1,85.0,78.3,80.0,81.0,75.0,18,0
59255,1,92.8,94.4,95.8,81.0,31.0,18,0
55684,1,89.2,81.6,61.0,67.0,60.0,18,0
56463,1,91.0,88.2,60.0,67.0,60.5,18,0
51853,1,89.2,73.9,60.4,70.0,66.5,18,0
58350,1,93.4,78.0,61.9,60.0,63.0,18,0
56412,1,94.0,74.2,72.0,62.0,78.5,18,0
51902,1,91.0,80.9,71.0,73.0,72.0,18,0
58427,1,92.8,76.2,47.0,71.0,89.0,18,0
59166,1,94.0,69.3,62.0,63.0,82.0,18,0
53159,1,94.0,86.1,62.0,60.0,61.5,18,0
52163,1,94.0,69.0,67.5,61.0,64.5,18,0
50485,1,92.8,71.0,60.0,61.0,60.0,18,0
55433,1,83.8,63.4,60.0,68.0,71.5,18,0
52259,1,94.0,80.2,60.4,72.0,23.0,18,0
52360,1,90.4,75.3,62.0,66.0,61.5,18,0
59310,1,82.0,92.3,60.4,60.0,63.0,18,0
59588,1,92.2,88.6,48.0,49.0,62.0,18,0
52014,1,93.4,25.0,44.0,69.0,84.0,18,0
55712,1,90.4,17.0,37.0,73.0,68.5,18,0
58353,1,91.0,20.0,68.0,73.0,44.0,18,0
54798,1,91.0,60.2,20.0,57.0,60.0,18,0
56353,1,82.6,69.6,64.0,63.0,14.0,18,0
59311,1,94.0,23.0,61.0,60.0,19.0,18,0
51932,1,89.8,68.7,30.0,60.0,60.0,18,0
51460,1,88.0,7.0,35.0,61.0,14.0,18,0
58415,1,0.0,0.0,30.0,0.0,0.0,18,0
50867,2,90.0,98.6,94.4,98.0,97.0,18,0
53012,2,80.6,88.8,86.4,87.0,88.5,18,0
55724,2,90.7,87.9,87.4,82.0,83.0,18,0
57347,2,89.7,97.6,90.8,92.0,91.0,18,0
55911,2,94.6,90.8,80.7,91.0,89.0,18,0
53002,2,91.1,90.6,73.6,80.0,82.0,18,0
50892,2,82.0,95.6,83.0,82.0,89.5,18,0
57239,2,89.0,88.9,79.4,85.0,88.5,18,0
54350,2,80.8,83.0,86.4,89.0,74.5,18,0
59607,2,83.4,86.6,80.1,86.0,94.5,18,0
54100,2,83.4,83.0,60.3,85.0,95.0,18,0
50612,2,82.3,83.9,68.0,74.0,94.5,18,0
52902,2,81.5,86.7,68.3,73.0,74.5,18,0
52220,2,86.2,89.1,60.2,62.0,60.0,18,0
54580,2,78.5,84.3,79.9,65.0,81.0,18,0
59479,2,76.0,87.0,72.7,60.0,82.0,18,0
51724,2,88.3,70.5,60.1,63.0,94.5,18,0
59015,2,78.2,74.7,61.9,66.0,84.5,18,0
52984,2,80.9,83.4,71.2,60.0,86.5,18,0
56574,2,71.1,74.7,60.5,63.0,81.5,18,0
50055,2,86.9,94.4,80.8,67.0,95.0,18,0
50443,2,77.8,71.8,69.6,60.0,74.0,18,0
50142,2,72.9,69.3,60.0,63.0,72.5,18,0
56939,2,77.4,87.9,68.9,48.0,64.5,18,0
57215,2,77.4,90.0,74.3,62.0,81.0,18,0
50678,2,73.9,80.9,60.2,76.0,71.5,18,0
56642,2,76.4,61.9,40.9,71.0,67.5,18,0
55735,2,74.3,60.7,60.5,48.0,60.5,18,0
54809,2,82.3,72.5,49.6,60.0,72.5,18,0
52318,2,80.9,82.7,60.2,47.0,94.5,18,0
58361,2,72.5,70.2,34.5,67.0,80.0,18,0
58384,2,72.2,69.4,33.2,46.0,60.0,18,0
58219,2,81.6,46.5,26.7,69.0,89.0,18,0
58301,2,80.6,62.0,43.0,39.0,72.0,18,0
51365,2,80.6,68.7,45.3,47.0,66.5,18,0
59389,2,70.8,60.3,46.7,40.0,67.5,18,0
51910,2,77.4,69.0,20.4,40.0,62.0,18,0
55517,2,71.5,64.1,36.6,40.0,63.0,18,0
53939,2,68.7,62.7,42.3,60.0,72.5,18,0
52577,2,76.7,49.3,31.1,41.0,66.0,18,0
